댓글,비방,차별,성적 수치심 유발,저주/협박,악성댓글
아닙니다 신지가 쨩이에요,0,0,0,0,0
연기하는 배우들도 대본때매 진짜스트레스받을듯,0,0,0,0,0
저 분홍드레스는 최악이네,1,0,0,0,1
이시언 저거깜냥도 안되는데 등처먹고성공해서 잘난척Tv에서 볼때마다역겹다.,1,0,0,0,1
김진아가 욕먹을 상황은 아닌거같은데. 김정훈 이 시키가 싸질러논 싱황을 보니 참 비겁하구만.,1,0,0,0,1
"괜찮아질 거라는 말은 잘 알지도 못하기 때문에 못하지만, 그 아이와 힘든 과정이지만 행복하시길 바랄게요!",0,0,0,0,0
저 정도 경력이면... 저만큼의 프라이드와 고집은 당연하지. 그걸로 버텨온 세월이니까. 그건 인정해 줘야지요.이 후를 지켜보자구요!,0,0,0,0,0
유툽이랑 음원도 트와압도하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이제 세대교체는 잇지다,1,0,0,0,1
강간. 마약 판치는 버닝썬 홍보 방송한 나혼자산다도 승리도 제대로 수사하고 처벌해주세요,1,0,0,0,1
아무도 죽지말자 ㅠㅠㅠㅠㅠㅠ 왕이 된 남자 다음주면 끝이라 슬퍼,0,0,0,0,0
중전 자기합리화시킬 구실만드는거보소..광대 애 낳아서 보위를 찬탈하려하네,1,0,0,0,1
"여자가 남자를 가지고 노네.임신이 무기냐? 성폭행도 아니고,같은여자끼리 이러지말자",1,0,0,0,1
솔직히 그 많은 레전드 걸그룹 중에서 투애니원이 제일 아까움..그렇게 해체될 그룹이 아니였는데...,0,0,0,0,0
최진실기자 ㄷㄷㄷ 뽀샾 심하다고 생각안하냐??,1,0,0,0,1
진짜 이거 사람맞냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0,0,0,1
김민부부 미국생활 멋지다! 문화가 다른걸 왜 그렇는지 . .미국생활 그동안 힘들때도 있었다잖혀 지금 이렇게 사는건 노력의 대가다!,0,0,0,0,0
"방송보면 덴마크까지 갔으니 초대했다고 자막까지 써서 알려준다. 국뽕논란은 알지만, 이번 걸로는 욕먹을 이유는 없지",0,0,0,0,0
제발변기보내라 뻔뻔한게 아직도정신못차렸더라 하긴 걔는 더이상 놀랄것도없다,1,0,0,0,1
갑상선 항진증 딱!하나 좋은점...아무리 먹어도 다이어트 걱정은 안한다는 점 ...,0,0,0,0,0
뒤늦게이리저리까발리고다니네여태까지왜가만히있었는지모르겠네,1,0,0,0,1
생각이 없나 분리생존좀 하지마라 쉐프까지 데려가서 양념 다받고 할거면다같이 먹이던가 왜 분리를 처해놔서 한쪽만 배터지게 먹이냐?,1,0,0,0,1
간만에 호감형 여배우 봄.,0,0,0,0,0
빅히트같은곳으로 가면 좋겠다~다니엘도 날개달았음 좋겠어요~,0,0,0,0,0
하늘에서 엄마가 도와주실테니 걱정말아요~~~♡연애 응원할게요~~♡♡♡♡,0,0,0,0,0
김남길 넘 멋찌당^^,0,0,0,0,0
승현이 잘풀려서 승환이차리리 매니저활동을해도 괜찮을것같다,0,0,0,0,0
연예인 이미지 세탁 하는 방송 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0,0,0,1
나중에 결혼해서 딸 낳으면 무슨생각들지 궁금하다,0,0,0,0,0
그 당시에 실수 안해도 일본선수가 금메달 땃을거다. 부상이든 뭐든 1년이상 한번도 못이겼어. 일본선수는 원래 나이도 세살 더 많고 성적도 이상화 라이벌도 아니었는데 네덜란드에 가서 훈련받고 실력 급상승해서 그때부터 이상화가 못이김.,0,0,0,0,0
꿀잼ㅋ 트로트의 부흥을 응원합니다.,0,0,0,0,0
조병규.ㄲ ㅏ져보여..,1,0,0,0,1
그냥 두세요..왜 연애인들 힘들게 하는지..행복하게 살 권리 있자나요...이수 노래 다 잘 들으시면서..왜들 ..,0,0,0,0,0
태풍이가 누굴까?제일 궁금함..,0,0,0,0,0
너무슬프다 현실을보는거같다 볼때마다 눈물나고 속터진다 에혀 공감대 이빠시 잘만들었다 굿!,0,0,0,0,0
사람은 절대 변하지 않는다는 고정관념을 깨부순 인물,0,0,0,0,0
새로운 남자출연자 심형탁 같던데..,0,0,0,0,0
비호감 억쑤로 비호감,1,0,0,0,1
아니 나이가몇인데 연애할수도있지..공개연애 안좋은것알지만 이렇게빼박일때 팬들위해 인정하는모습도 좋다고생각함,0,0,0,0,0
겨울왕국이 진짜 내 취향. 올해 42 아재인데 겨울왕국 진짜 재밌게 봄. 2편 만들어줘서 너무 감사함. 그저 감사함,0,0,0,0,0
계집들 왤케 부들부들 거리노 ㅋㅋ,1,1,0,0,1
요즘 난임부부 엄청 많고 제 절친은인공수정에 시험관까지 하느라 지금 너무나 몸고생 마음고생중인데..어떤 이는 임신이 재앙이니 참 씁쓸하네요..제발 아이 바라는 분께 제대로 찾아가거라 아기천사야ㅠ,0,0,0,0,0
나혼자산다기안이하고 시언이 투닥거리는재미에 봅니다,0,0,0,0,0
40도에 땡볕에서 자전거 타느라 죽을뻔했다는데영화 정말 잘 되었음 좋겠다. 둘째 축하해요.,0,0,0,0,0
충재씨 돈길만 걸으세요,0,0,0,0,0
미옥 임금님의 사건수첩 pmc 더벙커까지 고르는 작품마다 망하는 이선균 작품은 거르는게 답이다,1,0,0,0,1
가끔 기사보면 쿵쾅이들은 클라라 오연서 김사랑은 일단 화나요부터 누르고 시작하더라;;,1,1,0,0,1
알겠는데 자녀계획 없으십니까?,0,0,0,0,0
수일이는 고래한테 간이식 해서 살려줄삘ㅋ,0,0,0,0,0
주말드라마 치고 결말이 파격적이긴하다....주인공이 막판에 이혼하고 새사람 만나고 아버지와 두딸이 모두 결혼 파탄 ㅋㅋ,0,0,0,0,0
그나마 성훈 이시언 나와서 보는구만!어제는 드럽게 잼없어 채널 돌림 나래 기안은 제발 거기 앉아만 있던지 나오지 말던가!,1,0,0,0,1
빠른 복귀를 기원합니다. 가장 황당했던 미투로 너무 긴 시간을 힘들게 보냈을 오달수를 응원합니다,0,0,0,0,0
나혼자산다에서 시언씨 보는재미 넘좋은데 아쉬워요~~솔직하고 당당한모습좋아요~~악플다는사람들 신경쓰지말시고 언제나~~대배우님 홧팅!!!!!,0,0,0,0,0
양ㅇㅊ ㅅㅋ 자인하는 꼴 ㅉㅉ,1,0,0,0,1
역쉬 똥양인 보다는 양키 피섞인 윌리엄나은이가 이뻐 ㅎㅎ,1,1,0,0,1
"최진혁 죽음이 절절해야했다구 이 작가눔아...자기가 쓴 글, 자기가 망치네",1,0,0,0,1
사이비 꺼져라!!영원히,1,0,0,1,1
사쿠라가 일본인이라는 이유로 예능 고정시키는 건 잘못됐다고 본다. 수 많은 아이돌이 예능에서 강라인 타려고 얼마나 노력하는데 2년 뒤에는 한국에 없을거면서 강라인 타네. 차라리 아이즈원 한국멤버들을 고정시켜라,1,0,0,0,1
말도 안돼 말이 통하지 않는데 무슨 친화력 갑 거려,1,0,0,0,1
허세떨기 조아하는 니자식이 이미 방송에서 집이19억이고. 식당연매출 10억 넘는다고 이미 주둥이 털었어.어디서 또 사기를 쳐. 장난하는것도 아니고 자식들 생각하면 죽을꺼 같다는 놈이. 이상황에서도 구라치고 돈 깍으려드냐?,1,0,0,0,1
이분 성공하셧고 가정도모범적이구난 좋턴데요?왜?악플을달지??,0,0,0,0,0
아이콘 빠순이들아 현실에서 저런 남자는 걸러야되는거 새겨들어라,1,0,0,0,1
신은경 연기최고였음~근데..이혁이죽다니~~~ㅠ,0,0,0,0,0
부산 제주가 왜 장거리야!! 비행기타면 금방인데,0,0,0,0,0
채널 돌리다가 잠깐 보고 눈썩을 뻔. 이런 쓰레기 막장이 왜 수목 공중파 미니시간에 하는거야?,1,0,0,0,1
여기 지원자들 다 빻았다고 하던데 sm 신인 남돌이 남돌판 다시 가져올듯 방탄 동생그룹도 별로고,1,0,0,0,1
계집들 감정이입 하는 거 보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1,0,0,1
역시 여자나오는 기사에 여성댓글 비율이 20%만 넘어가도 눈썩음,1,1,0,0,1
사실 검사 한다고 음성 나와도 못믿겠음!!,0,0,0,0,0
이게 인턴뽑는 방송 맞나요..그냥 예능 같네요..,0,0,0,0,0
제대로 상황파악하고 댓글달자. 요즘 꽃뱀들이 얼마나많냐. 끝까지 입장나올때까지 쉿~!,1,1,0,0,1
"꼭 저런것들이 sns에서 저렇게 올리더라,화났냐고 물어보면 꼭 저렇게 댓글달고 ㅋㅋ그냥 들으라고 올린거랰ㅋㅋㅋㅋㅋ",1,0,0,0,1
박나래한테 방송에서 야야 하는것만 고쳐주세요. 듣는 당사자도 기분 나쁠겁니다,0,0,0,0,0
기자야 뭐가 그리 급했냐?장관 아니고 장광이다!,1,0,0,0,1
술을 오라지게 쳐 드시니...... 아주 최 고도 비만이 되었구나..... 사람은 나이가 들어서 자기관리를 안하면 저렇게 될것이니 정신들 똑바로 차리자,1,0,0,0,1
저렇게인연을만나다니행복하게사세요ㅎ,0,0,0,0,0
"결혼을 안 하면 안했다고 GR, 결혼을 한 커플에겐 이젠 지겨우니깐 그만 나오라고 GR.... 아지매들 성미는 대체 어떻게 해야 만족할 수 있는 거냐??",1,1,0,0,1
어 세븐이 아니었구나,0,0,0,0,0
한혜진 정말 볼수록매력 넘치는듯♡,0,0,0,0,0
또 와이프 때리지 마쇼잉,0,0,0,0,0
기부한 거 티낸다고 욕하는 사람들 진짜 개 한심하네..박명수처럼 대놓고 기부하는게 평생동안 기부 한 번도 안하는 사람보다 낫다,1,0,0,0,1
재밌을거같다!!봐야지ㅎㅎ,0,0,0,0,0
음 별로 왜나와 거기서 조용히 살든지 시끌하게 살던지,1,0,0,0,1
화사는 박수셔틀 존심 상하는지 계속 1위발표때 없네,1,0,0,0,1
어차피 이제 시간도 다 지나고 .....해결할꺼 다 하고 가는거 아닌감 ????답정너 ????,0,0,0,0,0
나혼자산다 그만 봤으면 좋겠다.식상식상식상지겨워 지겨워,1,0,0,0,1
돈천만원도없냐 월세낼돈도없냐 진짜거지같다 너랑같이살기싫으니까 이핑계저핑계대는거아냐눈치제로임 한마디로 너까인거야,1,0,0,0,1
진아씨 충격이겠다. 당신 잘못이 아니니 넘 힘들어하지 말아욧,0,0,0,0,0
소미까지 있었으면 팬덤 더 어마 했을듯,0,0,0,0,0
보라언니 ㅠ 이건 ㅠ,0,0,0,0,0
보그맘 있었는데 뭔2년만이야?,0,0,0,0,0
왜케 후덕 해진거지?,1,0,0,0,1
이게 방송이 6회 연장되면서 할매 치매로 시간 끌고 고래 시한부 스토리까지 넣은듯하다..연장만 안했어도..진짜,0,0,0,0,0
걍 tv에 기나올 생각마라~ 역시 딴따라 집단 아니랄까봐 집행유예 ㅎ 그지같은 처벌,1,1,0,0,1
유럽가면 소매치기들 진짜 개많음. 각별히 소지품 도난에 유의해야 함.,1,0,0,0,1
그래서..무슨 발달장애이지?,0,0,0,0,0
동이 이후 최고가 나타났다. 매 주 기다려 집니다. 작가님 감사!!,0,0,0,0,0
꼽다랑 꽂다 구분도 못하는게 뭔 기자라고 ㅋㅋ,1,0,0,0,1
부모님들의 마음은 다 똑같은가 보다..내리사랑이라고 결국은 아들에게 용기를 북돋아주시는 언중님~부모님의 은혜는 가히 없어라~~,0,0,0,0,0
이제알았냐?니가 예전에 거기 사내이사 되면서 쳐했던 말을 생각해봐..당장 경찰 조사받아도 시원찮을 판국에 해외로 콘서트랍시고 토껴??,1,0,0,0,1
김정훈 구린내 진동하네 얘도 이미 다 알았구나 ㅋ 하긴 데뷔초부터 성격 ㅈㄹ맞은 거 유명했지,1,0,0,0,1
-악플다는 애들 명단-메갈련뚱보련오크련,1,1,0,0,1
부럽다 일도 잘 되고 인기도 많고 연애까지 ㅠㅠㅠㅠㅠ 부롭다 부러워,0,0,0,0,0
영등포 몇시에 온다고요,0,0,0,0,0
무식한 사람들이나 나혼자 산다 남자 출연진 좋아하지.. 찡찡대는거 왜 들어줘야 되냐,1,0,0,0,1
캐미❤️이동욱 완전 연기 쩔어ㅠㅠ,0,0,0,0,0
오달수 난 개인적으로 환영 합니다.. 오달수의 감초연기 보고싶네요 ...,0,0,0,0,0
한혜진 가식없고 쿨하고 ..속속들이 멋진여성임 진심으로 응원합니다,0,0,0,0,0
'본인에게 확인한 결과'가 키포인트 ㅋㅋ,0,0,0,0,0
역시 고졸은 안돼ㅇㅇ 돈 아무리 벌어도 나이먹을수록 저열한 수준과 인성이 드러나거든 이나라 3대 톱기획사중 only 고졸 대표 수준ㅋㅋㅋㅋㅋ,1,1,0,0,1
아들도 이서진이 그렇게 잔인하게 죽인거ㅠㅠ 무섭다..,0,0,0,0,0
Bernard Faucon “summer camp” 쳐봐. 방탄 뮤비 잘 보고 엘범 사진 기억하는 사람은 알걸. 영감 안 받았다고 하기엔 너무 비슷해.,0,0,0,0,0
강유미꺼 말고는 연예인 유튭 그닥. 다들 부수입원으로 하는것 같던데 재미없더라ㅋ,1,0,0,0,1
홍진영이 진짜 천사이지마음도 넓고 착하고,0,0,0,0,0
승리 화이팅!! ㅠㅠ♥,0,0,0,0,0
생일 축하해요! 더 단단하고 행복한 앞날이 기다리고 있을거에요! 늘 응원할게요,0,0,0,0,0
그냥 다 죽여버려라,1,0,0,1,1
이프로정말좋다!권오중씨 힘내세요!,0,0,0,0,0
알바천국 광고 진짜 귀엽더라 누오보 광고는 숲속의 공주님처럼 사랑스럽고 음료광고 말도 있던데 기대할게 무대 위의 전소미도 기대된다,0,0,0,0,0
와..모발은 왠만하면 양성이네,0,0,0,0,0
되게 잘 어울리네요 둘 다 귀엽고 동안,0,0,0,0,0
제일 실력없고 인기없는 애가 사고는 아주 깽판을 치내,1,0,0,0,1
권오중씨 아들은 아빠가 권오중이라 복받은거네요. 나아질수있다는 희망없다는말에 쿵 ㅡㅡ 했어요 함부로 위로는못해도 응원은 합니다 힘내세요,0,0,0,0,0
깊갤 회사충 오지게 시기질투하넼ㅋ,1,0,0,0,1
발바닥사탕 같이 생겼네,1,0,0,0,1
이런 친구는 꼭 만나야한다ᆢ 힘들고 어려운시절 인연 ~~오래오래 멋진 동행하기를~~♡♡♡,0,0,0,0,0
보기 좋네 좋아.이제 활발한 활동 부탁해요!,0,0,0,0,0
한지민이 과거로 다시왔길래 상황이 바뀌나 했더니 이것도 페이크ㄷㄷ 시계가 다시 움직이니 돌아오겠지만 예고마다 낚는건좀...,0,0,0,0,0
뭐냐 오늘내일 할것처럼 생겼네 ㄷㄷ,1,0,0,0,1
보기싫었는데 잘됐다,1,0,0,0,1
민정이는 멘탈이 강한 아이입니다.,0,0,0,0,0
김혜윤도 조병규한테 관심있어보이더만,0,0,0,0,0
마눌이라년 이젤 짜증나 아갈머리닥쳐,1,0,0,1,1
멀리안나간다 티비에 나오지마라,1,0,0,0,1
아이즈원도 파격연장 가즈아!!!!,0,0,0,0,0
혜리울때나도슬펐음ㅠㅠㅠ,0,0,0,0,0
역시 믿고보는 배우 김남길~,0,0,0,0,0
문장력이 ㄷㄷㄷ 아무리 '아무말 대잔치' 스탈로 인스타 한다고 해도... 도대체 글쓰기 능력이 이렇게 떨어지다니...........,1,0,0,0,1
그런데 디패는 지디한테 삥뜯기기라도 했나?? 지난번 기사때도 그렇고 이번에도 그렇고 아닌거 알면서도 교묘하게 단어 바꿔서 일수를 뻥튀기해서 자극적으로 기사내는것 같네,1,0,0,0,1
낸시 앙~이 오버랩되네...ㅋ,0,0,0,0,0
아니 무슨 잘못을 했다고 이렇게 쿵쾅거리는거야??ㅋㅋㅋㅋ 서울대치대나와서 예쁘고 어려보이면 일단 욕하는거야??,1,0,0,0,1
보아누나 왜 하차함?ㅠㅠ,0,0,0,0,0
오타 좀 내지말자기자님아,0,0,0,0,0
아무리 깨끗청렴결백해도 넌 싫타구,1,0,0,0,1
개인보다 그룹이 유명한 애들끼리 사귀네ㅋㅋ,1,0,0,0,1
여긴 외모가좀;;;; 그냥 홍대 댄스팀같음,1,0,0,0,1
명희가 혹시 최수종의 아파서 죽은아내가?? 아닐까 추측을.. ㅜ,0,0,0,0,0
아 왜케 싫지 말하는것도 그렇고,1,0,0,0,1
태조왕간ㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0,0,0
도란이가 줘야지 뻔뻔하게 한짓이있는데,1,0,0,0,1
한국말 할줄 알면서 영어로 말하는건 좀 한국인답지 못한건 사실이다!~영어공부엔 도움된다!,0,0,0,0,0
아니 ㅋㅋ빈지노면 기다린단 애들은 그전에 빈지노같은 남잘 사귈수 있다고 생각하고 댓글다는거야 ?ㅋㅋㅋㅋㅋ,1,0,0,0,1
이건 존나 빨리 대응하네ㅋㅋㅋㅋㅌㅋㅋ,0,0,0,0,0
사이비주제에 무슨소리하는거야 어마마,1,0,0,0,1
내 장담하는데 양현석 나쁜 사람 절대 아님.,0,0,0,0,0
믿을게없어 딴따라말을믿나 연예인특징이 거짓을달고 살아야 일할수있는 직종인데,1,1,0,0,1
역시 멋있어 빈지노.,0,0,0,0,0
대가리 이식을한 만모 했나보네뒤통수 남아나겠냐 좌빨아,1,1,0,1,1
"긍정의힘! 내자녀들만 생각하면, 못 이길 산이 없지요.화이팅~ 그녀의 삶을 꼭 응원합니다.",0,0,0,0,0
마약쟁이부터 살인범까지 바로 기어나와서 방송하는데 김상혁 정도면 진짜 오래 자숙했지.. 결혼 축하해요,0,0,0,0,0
박한별 이 누구냐?너는 별에서 와서 돈벌기 가장 쉽다는 술장사부터시작했니?버닝썬에서 술장사로 돈을 마니 벌어서금융업 종사자가됐냐?우훼훼~,1,0,0,0,1
얘기 땜에 마음떠난 상태로 가정을 꾸리는건 태어날 얘긴한텐 불행이다 둘중 진정 누가얘기를 더 사랑할 수있고 여건 돼는가를 잘따져서 판단 해야 됀다고 봄 나이 60이 돼어도 싫은 사람하고 사는건 불행이더라,0,0,0,0,0
이미지 회복 쉽지 않을텐데. 이번엔 불법 소프트웨어라. 큐브도 구린내 심하내. 기계논란도 있었지. 흠...,1,0,0,0,1
뭐야 몸건강하게 잘 다녀와라 2년 금방간다 하고 댓글 남긴게 엊그제 같은데 벌써 전역이야 ㄷㄷ;;;,0,0,0,0,0
짜증 간만에 제대로 낚였네,1,0,0,0,1
너무 사랑하고 너무 아껴주고 싶은 마음에 그랬다,0,0,0,0,0
10년이다 고만 씹어라 범죄자의 가족도 범죄자가 되어야하나?남편에게 받은 팔찌 sns에 올린게 그렇게 잘못된건가? 적당히들해라 씹는것들 니들은 털어서 먼지 안날것 같지?성매매? 씹고 있는 니들 남편 삼촌 조카 심지어 니들 아버지들도 한번쯤은 해봤을걸?이제 그만해라,1,0,0,1,1
윤진이씨 응원합니다,0,0,0,0,0
4살이라지만 그렇게 큰아이를 유모차에....ㅠㅠ,0,0,0,0,0
뭔 팬미팅한다고 주연이 드라마 끝나지도 않았는데 하차를해요? 너무이상하네 희안하고 안좋아보임,1,0,0,0,1
화사 진짜 매력있는듯 방송보면서 넘좋았어요,0,0,0,0,0
마약음성나오니 또다르게 악플다는구만....승리 좋아하지는않지만 오지게 당한다,0,0,0,0,0
적당히 합시다 좀 먼 악플을 10년이나 지난일을 그리고 우리가 먼 용서를 해야함??? 당사자들이 서로 하는거지 ㅡㅡ,0,0,0,0,0
핸리빼고OOO 아물론 헨리는 중국사람맞다 작은섬짱깨나 섬짱깨나 본토짱깨나 동급 본인이 경험했으니 지ㄹ ㄴ,1,1,0,0,1
"더한 놈도 무지 많이 나오는데, 생긴게 구타유발스럽나? 좉나 욕들어 먹네.인덕이 없구나. 그래도 꿋꿋이 열심히 해라. 박수림이는 참 좋던데 어디 안불려 주나. 피디 새끼들아~ 박수림 같은사람 좀 쓰라",1,0,0,0,1
결혼은 했지만 혼인신고는??,0,0,0,0,0
유준상 아내가 젤 이쁨,0,0,0,0,0
오 연우 예쁜데~ 고정이면 좋겠다~,0,0,0,0,0
대가리졸라크네졸라깜짝놀랐네 ㅅㅂ,1,0,0,0,1
너 바람폈구나 결국 쾡기는게 있는것들이 꼭 먼저 선수치더라 너땜에 남양 더 싫다 조용히 살아라 일반인,1,0,0,0,1
주은언니같은 언니있음 진짜 좋겠어요,0,0,0,0,0
워너원이 5년이였으면 좋았을텐데...1년반 너무 짧았다ㅠㅜ,0,0,0,0,0
상담가님!진짜 울다웃다했어여!ㅠ권오중 맛쪄여!홧팅,0,0,0,0,0
끼리끼리다 겜돌이랑 몸돌이 류지혜만 욕하노 이거,1,0,0,0,1
문서파쇄하고 적극협조라 ㅋㅋㅋ,0,0,0,0,0
얼굴왜이리길어 ;;; 거기다 사각형이야ㅠㅠㅠ,1,0,0,0,1
김진아씨 래 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0,0,0
나혼자산다 골수팬으로써 얼장님이 한달동안 공백이라니 아쉽네요 정말 초창기에 노홍철 나올때부터 지금의 나혼자산다로 오기까지 계속 봤는데 지금이 제일재밌는데 영화촬영하면서 잘 쉬고 와요!!,0,0,0,0,0
저런여친있으면 ㄹㅇ 인생올인함 우리나라여자들 저런 와꾸어디없노,1,1,0,0,1
강도있는조사를받았는지설렁탕한그릇먹고자다나왔는지어떻게안대?생일파티로6억도쓰는놈인데자기생명줄달린일에는얼마를썼을까?견찰시키들돈앞에넙죽하는건예전부터아는일이고..다들짜고치는고스톱이지ㅠㅠ,1,1,0,0,1
연습생때 돈없은데 노래는 만들고싶으니까 썼나보네.....앞으로 안쓰는게 중요하져,0,0,0,0,0
왜 김종민 욕 하냐 종민이가 불쌍하지,0,0,0,0,0
신재민 정신병동 왜 있나요? 문정권 사악한 정권 맞네~~~!!! 열애설 퍼트리고~~~,1,1,0,0,1
여동생이랑도 해봐라,0,0,0,0,0
탤런트겸 가수라....첨보는디,0,0,0,0,0
아니 근데 긴 생머리에 몸매좋으면동안 인건가요?? ㅋㅋㅋㅋㅋ,0,0,0,0,0
연고커플 너무 귀여워ㅋㅋㅋ,0,0,0,0,0
특별시민아닌 보통사람으로 똑같이 조사받아야한다고 생각함,0,0,0,0,0
ㅅㄲ 존심도 없냐?,1,0,0,0,1
정말 재미없고 짜증나네요,1,0,0,0,1
디스패치 진짜 스토커다 이정도면,1,0,0,0,1
시즌제 하자던 시청지들한테 일부러 엿먹이려고 이런 겡판치나 ㅋㅋ 니들이 원하던 시즌제가 이모양인데 또 하작고 할래? 라고 말하는거 같다 ㅋㅋ,1,0,0,0,1
확실한건 둘 다 핵!! 노잼이다 핵노잼,1,0,0,0,1
이상한 남자만 안만나면 인생대박 나시겠어요 keep going start by starting,0,0,0,0,0
없애라.너가 그 모양이니 애비도없는거지 쓸모없는년,1,0,0,1,1
악플 신경쓰지 말고 오래가세요 ❤️❤️❤️,0,0,0,0,0
건강이최고다 지민아,0,0,0,0,0
누나랑 사귀고 싶소 ㅋ,0,0,0,0,0
오늘 본방 못보고 넷플릭스 이제 다봄 아 내일 또해서 다행이가 정말 이 드라마는 악역이 없구나 다 착해 다,0,0,0,0,0
약 사진은 왜 올린거야? 그런짓은 관종들이나 하는짓인데 .. 얘도 하는짓이 비호감 헤리네 ㅉㅉ .. 개인 방송하다가 우는건 그렇다 치더라도 sns에 약 사진 올리는 짓은 진짜 아니다,1,0,0,0,1
박하나류수영연기짱 감정몰입도최고,0,0,0,0,0
한남들 뭐만하면 깎아내리기 바쁘구나 ㅉ 자기 노래 잘하고 방송 잘 하는 사람한테ㅉ 한국남자가 대가리크기로는 전세계 1등인데 누가 누굴 나무라는지 참,1,1,0,0,1
저것도 꽃뱀일까? 남자이용한 황미나도 꽃뱀갓고 참 꽃뱀들 많어 ㅡㅡ,1,1,0,0,1
아쉽다...크게 뜰거라 생각했었는데...언제 앨범내나 싶었는데...,0,0,0,0,0
잘됐으면 좋겠다 김건모씨와 결혼하면 정말 멋진일일꺼다,0,0,0,0,0
"응원할께요,꽃길만 걸어가시길 바랍니다.",0,0,0,0,0
왜 얼굴에서 박봄이 보이나,0,0,0,0,0
사실과는 좀 다른데...,0,0,0,0,0
클럽가는남자가좋다니ㅡㅡ 요새 버닝썬 클럽으로 강간 마약으로 클럽다니는사람들 좋게안보인다 ㅉㅉ 다니는사람들보면 원나잇그렇게하고다닌다,1,0,0,0,1
하 ㅋㅋㅋㅋㅋ니가 마약한거엔 관심없다고 모자란거 티내나,1,0,0,0,1
인생은 빈지노처럼..,0,0,0,0,0
할거없어서 외국 가수까지 전설로 우려먹을꺼면 이제 좀 끝내라 너무 질질 끈다,1,0,0,0,1
가족중에 있음 어쩔수없어,0,0,0,0,0
저나이에 체력이대단 정신력인가,0,0,0,0,0
얘는 옛날부터 비호감 건방의 아이콘,1,0,0,0,1
결혼합시다^^ 너무 이쁜 커플이네요,0,0,0,0,0
차라리 서울대 계속 공부하시는게 나을뻔,0,0,0,0,0
미초바 얼굴도 예쁜데 게다가 너무 착하다 군대 간 남친을 기다려주다니,0,0,0,0,0
크으 미초바 얼마나 좋을까 휴가때마다 한국으로 계속 오던데 저건 진짜 둘이 엄청 좋아한다는거지 빈지노는 다가졌네,0,0,0,0,0
키 콘서트 비매너 짓 논란 덮으려고 준비한게 제대로 먹혔네~,1,0,0,0,1
ㅠㅠㅠ 감정이입되서 더 슬퍼ㅠㅠㅠㅠ,0,0,0,0,0
"나이차 많은 커플이 결혼까지 가는 경우가 별로 없네.아이유 장기하,지연 이동건,알렉스 현영,그리고 이 커플까지,역시 세대차이는 어쩔수가 없는건가?",0,0,0,0,0
최현경 인턴아.. 제목 이따위로 짓는 것부터 배운거 보면 본격적인 정상급 기레기가 꿈인가보네?,1,1,0,0,1
고현정씨 힘내세요.알바들 많다..,0,0,0,0,0
랩도 모범생처럼 정직하니 귀여움ㅎㅎ 도전이 멋있다 화이팅,0,0,0,0,0
오써니만 인생 망했네.. 졸지에 애딸린 과부..,1,0,0,0,1
고마~~괴롭피라 본인도 뉘우치고 열심히 살고있는데 언제까지 그럴건가~~평생 주홍글씨로 남을텐데 누리꾼들이 상기시켜주지않아도 본인들도 알고있으니 고마~합시다,0,0,0,0,0
이거 빨리 좀 끝내라. 개노잼이라 안보고있는데 언제 끝나는거냐,1,0,0,0,1
도둑이 제 발 저리다ㅋ,1,0,0,0,1
유병재 좋아하는 여자들특징 깨시민 코스프레함,1,1,0,0,1
진짜 중학생인줄 알았음,0,0,0,0,0
같이 찍은 사진을 보여주라고!!!!!!!!!!,0,0,0,0,0
멤버보니까 바로 망할듯 저거도 프로그램이냐,1,0,0,1,1
보통 여행프로그램하곤 뭔가 다르네.재미있네,0,0,0,0,0
정일우씨 아낌없이 하이킥 할때가 엊그제 같은데 많이 컷네요,0,0,0,0,0
맛집은 지방 서울 할꺼없이 맛있고 심지어 외국인도 맛있어 하는데 왠 지방타령ㅋㅋㅋㅋ그럼 그냥 쭉 지방입맛타령하시고 장사하다 망하시지 왜 방송나왔데ㅋㅋㅋ나는 여기 나온다고하고 백종원이 하는말 안듣는 사람들이 이해가 안가 그냥 방송 좀 타면 잘될꺼 같아서 나오냐?,1,0,0,0,1
황교뢀 티비보다 또 혼자 풀발기 하겠는데 ㅋㅋㅋ,1,0,0,0,1
있지 축하축하 너무 축하 오늘 라이브 짱 이더라 ㅡmr 제거 노래 부르는데대한민국 최고 라이브 그룹 탄생.....대 박...팬덤명은 살아 있네..살아있지 좋잖아.^^,0,0,0,0,0
어쩐지 나혼산 볼때 살 엄청 빼서 화보찍나보다 예상했는데 대단하심!!!,0,0,0,0,0
얼굴 이상해졌네. 선임신 후결혼,1,0,0,0,1
풍상이 엄마가 간주겠다고 돈부터 달라고 할거고 지푸락 잡는 심정으로 돈 주면 돈만 받고 튈 위인이다 분명 그렇게 할것같다,1,0,0,0,1
일마레 생각하면 엄청난 발전,0,0,0,0,0
